data,descricao_original,valor,categoria,estabelecimento,parcela,cartao_origem,competencia,fonte,observacao
2026-08-15,DOMINO S BARRA,120.30,,DOMINO S BARRA,,FREE MASTERCARD,2026-08,prints_chatgpt_2026-08-16,Transação em processamento no momento do print.
2026-08-14,RicardoRocha,25.00,,RicardoRocha,,FREE MASTERCARD,2026-08,prints_chatgpt_2026-08-16,
2026-08-14,15.827.828 CARL,390.00,,15.827.828 CARL,1/?,FREE MASTERCARD,2026-08,prints_chatgpt_2026-08-16,Nome do estabelecimento aparece truncado no print.; Transação em processamento no momento do print.
2026-08-14,IFD.SUBWAYBARRA8F 520A8,35.99,,IFD.SUBWAYBARRA8F 520A8,,FREE MASTERCARD,2026-08,prints_chatgpt_2026-08-16,
2026-08-13,Uber UBER .TRIP HELP.U,8.95,,Uber UBER .TRIP HELP.U,,FREE MASTERCARD,2026-08,prints_chatgpt_2026-08-16,
2026-08-12,PACIELLO PADARIA,3.60,,PACIELLO PADARIA,,FREE MASTERCARD,2026-08,prints_chatgpt_2026-08-16,
2026-08-12,NOVOPODERCOMERCIOLTD,64.15,,NOVOPODERCOMERCIOLTD,1/3,FREE MASTERCARD,2026-08,prints_chatgpt_2026-08-16,
2026-08-11,FATIACA PIZZARIA LTDA,76.10,,FATIACA PIZZARIA LTDA,,FREE MASTERCARD,2026-08,prints_chatgpt_2026-08-16,
2026-08-11,EMISE BOA VISTA,44.33,,EMISE BOA VISTA,,FREE MASTERCARD,2026-08,prints_chatgpt_2026-08-16,
2026-08-10,WPS.Paroquia Santo Ant,21.00,,WPS.Paroquia Santo Ant,,FREE MASTERCARD,2026-08,prints_chatgpt_2026-08-16,
2026-08-10,EMISE BOA VISTA,8.39,,EMISE BOA VISTA,,FREE MASTERCARD,2026-08,prints_chatgpt_2026-08-16,
2026-08-09,EMISE BOA VISTA,119.08,,EMISE BOA VISTA,,FREE MASTERCARD,2026-08,prints_chatgpt_2026-08-16,
2026-08-08,SHEIN *SHEIN.COM,52.58,,SHEIN *SHEIN.COM,1/3,FREE MASTERCARD,2026-08,prints_chatgpt_2026-08-16,
2026-08-06,EBN *TikTok Shop,46.31,,EBN *TikTok Shop,,FREE MASTERCARD,2026-08,prints_chatgpt_2026-08-16,
2026-08-06,ADIQPLU.GABRIEL DA SIL,54.00,,ADIQPLU.GABRIEL DA SIL,,FREE MASTERCARD,2026-08,prints_chatgpt_2026-08-16,
2026-08-05,SHOPEE *ZayanModaFit,39.73,,SHOPEE *ZayanModaFit,1/4,FREE MASTERCARD,2026-08,prints_chatgpt_2026-08-16,
2026-08-04,DOMINO S BARRA MANSA,101.60,,DOMINO S BARRA MANSA,,FREE MASTERCARD,2026-08,prints_chatgpt_2026-08-16,
2026-08-04,SHOPEE *FITBEM,61.90,,SHOPEE *FITBEM,1/2,FREE MASTERCARD,2026-08,prints_chatgpt_2026-08-16,
2026-08-04,EMISE BOA VISTA,296.98,,EMISE BOA VISTA,,FREE MASTERCARD,2026-08,prints_chatgpt_2026-08-16,
2026-08-04,SHOPEE *CASADOSCOSME,34.95,,SHOPEE *CASADOSCOSME,1/2,FREE MASTERCARD,2026-08,prints_chatgpt_2026-08-16,
